what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114931852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114935523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114935682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114935709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114937197
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114942075
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114950233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1335114956991
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114970637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114973247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114973382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114973413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114977995
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114983289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114985018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114985135
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1335114985322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114985567
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1335114988820
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1335114988936
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1335114988978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114989193
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335114994052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114995216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114995362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114995611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335114997301
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1335115001016
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1335115001038
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1335115001336
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1335115001343
opened,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1335115001389
activated,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1335115001456
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1335115002051
no handler,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335115002084
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1335115004610
closed,view,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui.HelpView",1335115004622
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1335115006581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335115007819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335115007920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335115008097
error,log,,,"Help documentation could not be indexed completely.",1335115009135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335115009994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335115017212
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1335115017212
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335115018876
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1335115019125
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1335115019229
